first_name,last_name,employee_id,salary,department,email
Amber,Fisher,10724,22500,Customer Research,amber.fisher@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Mark,Hopkins,19445,15000,Customer Research,mark.hopkins@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Dennis,Hall,1164,15000,Customer Research,dennis.hall@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Jamie,Stanley,3777,15000,Customer Research,jamie.stanley@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Heather,Harris,5621,15000,Customer Research,heather.harris@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Andrew,Diaz,7662,19000,Customer Research,andrew.diaz@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Vanessa,Robertson,3071,23000,Customer Research,vanessa.robertson@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Kristina,Lewis,8424,15500,Customer Research,kristina.lewis@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Michael,White,6297,34500,Customer Research,michael.white@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Yvette,Walsh,13616,21500,Customer Research,yvette.walsh@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Samantha,Chapman,2253,23500,Customer Research,samantha.chapman@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Christopher,Campbell,18742,27000,Customer Research,christopher.campbell@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Gina,Frazier,3292,15000,Customer Research,gina.frazier@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Kevin,Meyer,9390,15000,Customer Research,kevin.meyer@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Melanie,Avila,19974,32500,Customer Research,melanie.avila@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Anna,Hubbard,12547,37000,Customer Research,anna.hubbard@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Melissa,Smith,7069,27000,Customer Research,melissa.smith@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Debra,Byrd,10217,16500,Customer Research,debra.byrd@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Taylor,Martinez,18471,42500,Customer Research,taylor.martinez@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Cassandra,Peterson,18577,21000,Customer Research,cassandra.peterson@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Ryan,Miller,16243,42000,Customer Research,ryan.miller@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Cheryl,Knight,17856,15000,Customer Research,cheryl.knight@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Sandra,Williams,5743,27500,Customer Research,sandra.williams@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Bailey,Jackson,9514,15000,Customer Research,bailey.jackson@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Stephanie,Robinson,2871,22500,Customer Research,stephanie.robinson@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Barbara,Maldonado,12255,19000,Customer Research,barbara.maldonado@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Sara,Thomas,1019,29500,Customer Research,sara.thomas@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Lori,Jones,16891,15000,Customer Research,lori.jones@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Nancy,Howard,15148,39000,Customer Research,nancy.howard@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Aaron,Bell,16644,15000,Customer Research,aaron.bell@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Aaron,Campbell,1086,35500,Customer Research,aaron.campbell@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Michael,Pearson,2119,32000,Customer Research,michael.pearson@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Amy,Weiss,15050,15000,Customer Research,amy.weiss@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Melvin,Lindsey,17223,26000,Customer Research,melvin.lindsey@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
William,Camacho,18293,17000,Customer Research,william.camacho@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Michael,Taylor,19498,21000,Customer Research,michael.taylor@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Amber,Jackson,19319,21500,Customer Research,amber.jackson@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Steven,Henry,14751,31000,Customer Research,steven.henry@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Vanessa,Johnson,19108,31500,Customer Research,vanessa.johnson@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Matthew,Neal,12457,33000,Customer Research,matthew.neal@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Tracy,Huffman,14610,29500,Customer Research,tracy.huffman@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Gregory,Nelson,18930,22000,Customer Research,gregory.nelson@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Megan,Campbell,2161,15000,Customer Research,megan.campbell@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Jason,Johnson,12222,15000,Customer Research,jason.johnson@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Anthony,Todd,6922,17500,Customer Research,anthony.todd@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Kevin,Norton,16705,36000,Customer Research,kevin.norton@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Devin,Robinson,11446,18000,Customer Research,devin.robinson@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Denise,Knight,10121,20500,Customer Research,denise.knight@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
April,Mullen,1880,15000,Customer Research,april.mullen@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Jerry,Bradley,19321,27500,Customer Research,jerry.bradley@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Janice,Waters,15682,22500,Customer Research,janice.waters@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Christopher,Glenn,19836,28500,Customer Research,christopher.glenn@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Christopher,Griffin,7329,30000,Customer Research,christopher.griffin@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Kimberly,Dixon,1720,35000,Customer Research,kimberly.dixon@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
Sarah,Preston,18787,25500,Customer Research,sarah.preston@datapocalypse.com
first_name,last_name,employee_id,salary,department,email
